year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1991,0.35,0.35,0.35,0.35,0.35,0.28,0.35,0.35,0.35,0.35,0.35,0.28,0.35,0.35,0.28
1992,0.35,0.35,0.35,0.35,0.35,0.29,0.35,0.35,0.35,0.35,0.35,0.29,0.35,0.35,0.29
1993,0.35,0.35,0.35,0.35,0.35,0.3,0.35,0.35,0.35,0.35,0.35,0.3,0.35,0.35,0.3
1994,0.35,0.35,0.35,0.35,0.35,0.31,0.35,0.35,0.35,0.35,0.35,0.31,0.35,0.35,0.31
1995,0.35,0.35,0.35,0.35,0.35,0.32,0.35,0.35,0.35,0.35,0.35,0.32,0.35,0.35,0.32
1996,0.35,0.35,0.35,0.35,0.35,0.33,0.35,0.35,0.35,0.35,0.35,0.33,0.35,0.35,0.33
1997,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.34
1998,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.35,0.34
1999,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2000,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2001,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.36
2002,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.35,0.35,0.36
2003,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.37
2004,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.35,0.37
2005,0.35,0.35,0.35,0.35,0.35,0.38,0.35,0.35,0.35,0.35,0.35,0.38,0.35,0.35,0.38
2006,0.35,0.35,0.35,0.35,0.35,0.38,0.35,0.35,0.35,0.35,0.35,0.38,0.35,0.35,0.38
2007,0.35,0.35,0.35,0.35,0.35,0.39,0.35,0.35,0.35,0.35,0.35,0.39,0.35,0.35,0.39
2008,0.35,0.35,0.35,0.35,0.35,0.39,0.35,0.35,0.35,0.35,0.35,0.39,0.35,0.35,0.39
2009,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2010,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2011,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2012,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2013,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2014,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2015,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2016,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2017,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2018,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2019,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2020,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2021,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2022,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2023,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
2024,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.35,0.35,0.35,0.4,0.35,0.35,0.4
