DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W,area_id
1922,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1923,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1924,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1925,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1926,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1927,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1928,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1929,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1930,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1931,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1932,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1933,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1934,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1935,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1936,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1937,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1938,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1939,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1940,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1941,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1942,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1943,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1944,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1945,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1946,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1947,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1948,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1949,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1950,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1951,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1952,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1953,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1954,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1955,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1956,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1957,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1958,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1959,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1960,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1961,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1962,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1963,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
