area_id,node,factor
78,316,0.8081999999999999
78,350,0.1918
79,1,0.8
79,3,0.2
80,262,0.4781
80,264,0.2368
80,276,0.2851
81,274,0.6854000000000001
81,276,0.3146
82,54,0.3017
82,55,0.13210000000000002
82,56,0.13210000000000002
82,170,0.4341
83,316,0.2
83,317,0.2
83,318,0.2
83,319,0.2
83,321,0.2
84,5,1.0
85,162,0.5
85,163,0.5
86,6,1.0
87,319,1.0
88,320,1.0
89,320,1.0
90,163,1.0
91,6,0.6970000000000001
91,162,0.303
92,40,0.024700000000000003
92,41,0.024700000000000003
92,42,0.0253
92,43,0.0253
92,44,0.0253
92,45,0.0253
92,46,0.11939999999999999
92,47,0.11939999999999999
92,240,0.0253
92,253,0.0108
92,255,0.0011
92,256,0.001
92,257,0.0116
92,260,0.0011
92,262,0.0011
92,264,0.0011
92,266,0.0011
92,271,0.0048
92,276,0.001
92,278,0.001
92,280,0.0048
92,282,0.0048
92,284,0.0048
92,286,0.0048
92,288,0.0048
92,290,0.0048
92,292,0.0048
92,294,0.0048
92,301,0.006500000000000001
92,302,0.006500000000000001
92,303,0.006500000000000001
92,304,0.006500000000000001
92,305,0.0048
92,306,0.0048
92,307,0.006500000000000001
92,339,0.014499999999999999
92,340,0.014499999999999999
92,341,0.014499999999999999
92,342,0.0128
92,343,0.0128
92,344,0.0128
92,346,0.013500000000000002
92,347,0.0108
92,348,0.0108
92,350,0.0318
92,351,0.0318
92,352,0.0253
92,353,0.0253
92,354,0.11939999999999999
92,355,0.1185
93,337,1.0
94,253,1.0
95,253,0.3333
95,257,0.6667000000000001
96,256,0.5
96,280,0.5
97,337,1.0
98,348,0.5
98,350,0.5
99,342,1.0
100,253,0.11480000000000001
100,257,0.6557
100,260,0.2295
101,253,1.0
102,54,0.11109999999999999
102,55,0.1112
102,56,0.11109999999999999
102,164,0.11109999999999999
102,165,0.11109999999999999
102,167,0.11109999999999999
102,168,0.11109999999999999
102,169,0.11109999999999999
102,171,0.11109999999999999
103,4,1.0
104,26,1.0
105,242,1.0
106,242,1.0
107,110,0.36810000000000004
107,111,0.18059999999999998
107,112,0.0694
107,113,0.21350000000000002
107,114,0.1684
108,22,1.0
109,32,1.0
110,30,0.5
110,32,0.5
111,130,0.22829999999999998
